mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sgdclassifier__alpha,param_sgdclassifier__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
619.5301714420318,31.27777651623299,1.0515419960021972,0.37149282004074496,1e-10,1e-10,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 1e-10}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589368014678342,0.634884897411839,0.6530392300273375,0.010318469466452375,25
622.5939470291138,23.252695958690246,1.084217357635498,0.315345985431287,1e-10,1.12e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 1.12e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589368014678342,0.634884897411839,0.6530392300273375,0.010318469466452375,25
649.6159386634827,30.96973565204678,1.2177159786224365,0.3035407858767942,1e-10,2.23e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 2.23e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589368014678342,0.634884897411839,0.6530392300273375,0.010318469466452375,25
672.7780982017517,28.08229835774578,1.2254199504852294,0.27185012221588717,1e-10,3.34e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 3.34e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589368014678342,0.634884897411839,0.6530392300273375,0.010318469466452375,25
608.0450152873993,36.704385404709846,1.1319026470184326,0.42353591529058027,1e-10,4.45e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 4.45e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589368014678342,0.634884897411839,0.6530392300273375,0.010318469466452375,25
624.72349152565,23.447970909235103,1.2749566078186034,0.2847181381089552,1e-10,5.56e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 5.56e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589368014678342,0.634884897411839,0.6530392300273375,0.010318469466452375,25
632.1936835765839,27.2455529228003,1.2499896049499513,0.28063720412670773,1e-10,6.67e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 6.67e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.658860144479087,0.634884897411839,0.6530238986295882,0.010309748605573169,81
658.9399082183838,27.14753634707308,1.3796693325042724,0.31936541705744137,1e-10,7.78e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 7.78e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.658860144479087,0.634884897411839,0.6530238986295882,0.010309748605573169,81
678.3494380474091,39.93525653027012,1.0749054431915284,0.38956397564873885,1e-10,8.89e-08,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 8.89e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.658860144479087,0.634884897411839,0.6530238986295882,0.010309748605573169,81
694.9416201591491,41.63685191458794,1.1246391773223876,0.32773811386272217,1e-10,1e-07,"{'sgdclassifier__alpha': 1e-10, 'sgdclassifier__tol': 1e-07}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.658860144479087,0.634884897411839,0.6530238986295882,0.010309748605573169,81
677.0683672904968,31.814865811626234,1.1502840995788575,0.26736073119090065,1.12e-08,1e-10,"{'sgdclassifier__alpha': 1.12e-08, 'sgdclassifier__tol': 1e-10}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589492808529401,0.634884897411839,0.6530417259043588,0.010319897105775654,13
684.6178483963013,37.650973332667675,1.3809693336486817,0.3426714872476001,1.12e-08,1.12e-08,"{'sgdclassifier__alpha': 1.12e-08, 'sgdclassifier__tol': 1.12e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589492808529401,0.634884897411839,0.6530417259043588,0.010319897105775654,13
682.6392809391022,35.2712155365194,1.2627343654632568,0.38926565040877575,1.12e-08,2.23e-08,"{'sgdclassifier__alpha': 1.12e-08, 'sgdclassifier__tol': 2.23e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589492808529401,0.634884897411839,0.6530417259043588,0.010319897105775654,13
699.102265882492,40.530300602275965,1.0704101085662843,0.22738195701277736,1.12e-08,3.34e-08,"{'sgdclassifier__alpha': 1.12e-08, 'sgdclassifier__tol': 3.34e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589492808529401,0.634884897411839,0.6530417259043588,0.010319897105775654,13
625.606792974472,35.46371319173978,1.1696287631988525,0.1997866200330344,1.12e-08,4.45e-08,"{'sgdclassifier__alpha': 1.12e-08, 'sgdclassifier__tol': 4.45e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589492808529401,0.634884897411839,0.6530417259043588,0.010319897105775654,13
612.4983664035797,38.63305129875257,1.3212255477905273,0.24634506059241174,1.12e-08,5.56e-08,"{'sgdclassifier__alpha': 1.12e-08, 'sgdclassifier__tol': 5.56e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6589492808529401,0.634884897411839,0.6530417259043588,0.010319897105775654,13
598.5492131233216,41.83289354445165,1.1284827709197998,0.42426733070987344,1.12e-08,6.67e-08,"{'sgdclassifier__alpha': 1.12e-08, 'sgdclassifier__tol': 6.67e-08}",0.6569450978765893,0.6495378151662635,0.6648915382141619,0.6588726233243587,0.634884897411839,0.6530263943986425,0.010311162546926506,69
