mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_linearsvc__tol,param_linearsvc__penalty,param_linearsvc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19.7630934715271,3.7315811542771713,0.5706446647644043,0.020537610364006004,0.5555599999999999,l2,0.44445,"{'linearsvc__tol': 0.5555599999999999, 'linearsvc__penalty': 'l2', 'linearsvc__C': 0.44445}",0.5476446413956952,0.5276734904628487,0.5366545256027994,0.5590664523897733,0.526145238628768,0.5394368696959769,0.012453706428764968,8,0.5393878369082181,0.543587875899031,0.5401439905570006,0.5358361797352815,0.5474869408588569,0.5412885647916775,0.003958737599473786
12.921841287612915,1.917732593603675,0.5711212635040284,0.01599858380858102,0.5555599999999999,l2,1e-05,"{'linearsvc__tol': 0.5555599999999999, 'linearsvc__penalty': 'l2', 'linearsvc__C': 1e-05}",0.513757828218745,0.4989432774116977,0.5063709095644804,0.518710607516147,0.5008147662944042,0.5077194778010948,0.0075336840753209644,10,0.5085252485084758,0.5091303979080901,0.5082590238590541,0.5032804582750157,0.5150938075204615,0.5088577872142194,0.0037560075477203903
232.4311074733734,35.51341974528751,0.5817195892333984,0.021977870365864963,1e-05,l2,0.11112,"{'linearsvc__tol': 1e-05, 'linearsvc__penalty': 'l2', 'linearsvc__C': 0.11112}",0.6593278282480364,0.6508990543373653,0.6683719258045443,0.662001832214611,0.6362750152371895,0.6553751311683493,0.011075227710131596,2,0.6585622293276342,0.6608311854345879,0.6581573267629948,0.6583041367626643,0.666895916152561,0.6605501588880884,0.0033187267463154354
18.360012578964234,2.0898306038398298,0.6333738803863526,0.09017219894925756,0.88889,l2,0.7777799999999999,"{'linearsvc__tol': 0.88889, 'linearsvc__penalty': 'l2', 'linearsvc__C': 0.7777799999999999}",0.5476446413956952,0.5276734904628487,0.5366545256027994,0.559086255510862,0.5261342953208695,0.539438641658615,0.012462286131510073,7,0.5393863580081093,0.5435854291992345,0.5401411204026692,0.5358465384240679,0.5474864234277516,0.5412891738923665,0.003955747873247712
24.054313564300536,2.649223955782968,0.622173547744751,0.03742173367569569,0.88889,l1,0.66667,"{'linearsvc__tol': 0.88889, 'linearsvc__penalty': 'l1', 'linearsvc__C': 0.66667}",0.6493932742206548,0.6401741268204685,0.6576816775683102,0.6538630901727088,0.629361057164578,0.646094645189344,0.010203475057408313,5,0.6501442147903606,0.6517163751466174,0.6492416886851282,0.6500884826408841,0.6586188548224945,0.6519619232170969,0.0034231141283924834
18.38108620643616,2.1648310387040706,0.6434287548065185,0.05897325832588612,0.5555599999999999,l2,0.5555599999999999,"{'linearsvc__tol': 0.5555599999999999, 'linearsvc__penalty': 'l2', 'linearsvc__C': 0.5555599999999999}",0.5476446413956952,0.5276734904628487,0.5366545256027994,0.5590664523897733,0.5261342953208695,0.5394346810343972,0.012456042900508843,9,0.5393878369082181,0.5435883188054725,0.5401382502740842,0.5358450934194067,0.5474864234277516,0.5412891845669867,0.00395650575213015
21.479121017456055,1.0469374998446086,0.6590096473693847,0.015558702758422862,1.0,l1,0.33334,"{'linearsvc__tol': 1.0, 'linearsvc__penalty': 'l1', 'linearsvc__C': 0.33334}",0.6494126007408502,0.6392745562198214,0.657664760794056,0.6574783842687518,0.629216455998245,0.6466093516043449,0.01099570998190408,4,0.6501404610948495,0.6517177123602844,0.649219907134129,0.6488962674109803,0.6586104910255061,0.6517169678051499,0.003583230359884838
421.3133634090424,61.180109364568146,0.5868800640106201,0.11093729901626621,1e-05,l2,0.88889,"{'linearsvc__tol': 1e-05, 'linearsvc__penalty': 'l2', 'linearsvc__C': 0.88889}",0.6612865675204679,0.6526354913731864,0.6693276453432102,0.6639174299841754,0.6362416415455604,0.65668175515332,0.011555503630442188,1,0.660298180800945,0.6622717435460287,0.6600819629886906,0.6601260638563868,0.6692353828741965,0.6624026668132494,0.0035128506461825524
22.47632565498352,2.4020594545053178,0.6532616138458252,0.0389852383855905,0.44445,l2,0.88889,"{'linearsvc__tol': 0.44445, 'linearsvc__penalty': 'l2', 'linearsvc__C': 0.88889}",0.5779858579591547,0.5642068941757536,0.5844253607461132,0.5899683843039625,0.5718219470396041,0.5776816888449176,0.009082281434368929,6,0.577450541113146,0.5797724776087316,0.5789744575274602,0.574139891997738,0.587791079167442,0.5796256894829035,0.004515406581754287
26.517715740203858,1.462634403197665,0.6464173316955566,0.034265218248031325,0.5555599999999999,l1,0.22223,"{'linearsvc__tol': 0.5555599999999999, 'linearsvc__penalty': 'l1', 'linearsvc__C': 0.22223}",0.6528146758157237,0.644170335466544,0.660007805811363,0.656327323835408,0.6355761496564476,0.6497792581170974,0.00883065588090927,3,0.6532662559825907,0.6545109318790896,0.651930650703794,0.6522623453099318,0.6595339811493722,0.6543008330049556,0.002766713822462758
