mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_linearsvc__C,param_linearsvc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29.969465446472167,3.2357941311967453,0.6329172611236572,0.04468653287018885,0.0001,0.0001,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.0001}",0.5286385505976509,0.5108699310846884,0.5285992334326021,0.5381174177878844,0.5091477736402232,0.5230745813086098,0.011230992152104942,91
19.777138185501098,1.3326103636308038,0.6184485912322998,0.04953468550694175,0.0001,0.11120000000000001,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.11120000000000001}",0.5242694977965201,0.5072313097143526,0.529893211779328,0.5294088350376357,0.5102212594359549,0.5202048227527583,0.009623761056260869,92
17.347555112838744,1.3885362658762654,0.5976629734039307,0.00854703525342984,0.0001,0.2223,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.2223}",0.5237758287092409,0.5078170559215986,0.525908361024889,0.5334534751106025,0.5086687216297102,0.5199246884792083,0.010069312208787526,93
16.57880539894104,0.593016057656463,0.595449161529541,0.014549132922728221,0.0001,0.33340000000000003,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.33340000000000003}",0.5139284961150496,0.4920628044570622,0.5202904880389315,0.5321735242774276,0.49411063153820317,0.5105131888853348,0.015400588330237254,98
16.755483531951903,0.7281446307064812,0.6025451183319092,0.012387917428424457,0.0001,0.4445,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.4445}",0.5250048071110677,0.507593683460313,0.5276641932250262,0.525554516273217,0.4982446465425158,0.5168123693224279,0.011756255785741925,94
16.221164417266845,0.4567821862212504,0.579168701171875,0.026016588509569914,0.0001,0.5556,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.5556}",0.5264540094609539,0.505995338750291,0.5044605294387825,0.5237113232036074,0.5157436219434645,0.5152729645594198,0.008937855156170474,95
16.03638310432434,0.2864596594721726,0.5974690914154053,0.024295183607218895,0.0001,0.6667000000000001,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.6667000000000001}",0.5276922402755847,0.5068386589874821,0.5087598571803048,0.5237113232036074,0.5024594317651027,0.5138923022824164,0.009936376252840847,96
15.935962772369384,0.43188463374719205,0.5868676185607911,0.01888419322773584,0.0001,0.7778,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.7778}",0.5217100737735502,0.5068386589874821,0.5087598571803048,0.5132757345661937,0.5118062616052634,0.5124781172225589,0.0051370332310341806,97
16.245012331008912,1.0548690416979947,0.5969458103179932,0.019132503763380007,0.0001,0.8889,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 0.8889}",0.5215906382480501,0.497408667608808,0.5049001240359033,0.5345024504136752,0.48447396723562913,0.5085751695084132,0.017667433297145235,99
17.412232065200804,1.6220303643259077,0.6109353542327881,0.04295900011144182,0.0001,1.0,"{'linearsvc__C': 0.0001, 'linearsvc__tol': 1.0}",0.5109370726088036,0.49037062661431907,0.5049001240359033,0.5322695068979407,0.4998292512475989,0.5076613162809132,0.014030160365513343,100
2073.2110434532165,32.67543037609669,0.6706446647644043,0.049993746703512525,0.11120000000000001,0.0001,"{'linearsvc__C': 0.11120000000000001, 'linearsvc__tol': 0.0001}",0.6597117803632232,0.6515108666634237,0.6681560380689114,0.6628157189320881,0.637265458544414,0.655891972514412,0.010761762044714407,9
121.95885438919068,13.112157348856922,0.6215699672698974,0.00776277885808383,0.11120000000000001,0.11120000000000001,"{'linearsvc__C': 0.11120000000000001, 'linearsvc__tol': 0.11120000000000001}",0.6577308426330103,0.6490396793694596,0.6656009410332278,0.660721063663399,0.6361196153511336,0.653842428410046,0.010371716427819998,10
55.11660590171814,9.231723757826835,0.6279747009277343,0.0069132104668091394,0.11120000000000001,0.2223,"{'linearsvc__C': 0.11120000000000001, 'linearsvc__tol': 0.2223}",0.657828475343699,0.6481217708824616,0.6640647976490692,0.6600937881424842,0.6340587989316967,0.6528335261898822,0.010756332097474723,19
38.20479016304016,3.4169628864548347,0.6327675342559814,0.005613621207175163,0.11120000000000001,0.33340000000000003,"{'linearsvc__C': 0.11120000000000001, 'linearsvc__tol': 0.33340000000000003}",0.6553886458479337,0.6468231066130758,0.6622190711442766,0.6591181419336223,0.6339641216099074,0.6515026174297631,0.01017287046666383,34
28.350863695144653,1.4792711281054605,0.6233069419860839,0.003514699748318636,0.11120000000000001,0.4445,"{'linearsvc__C': 0.11120000000000001, 'linearsvc__tol': 0.4445}",0.6532370922675301,0.6448616418328161,0.6612063872074712,0.6600472064987536,0.6340390164594607,0.6506782688532062,0.010157398447145364,37
25.765621280670167,0.3096218881413397,0.646269702911377,0.020583660105738054,0.11120000000000001,0.5556,"{'linearsvc__C': 0.11120000000000001, 'linearsvc__tol': 0.5556}",0.6521336558272885,0.6456276786411185,0.6607528802952729,0.6576277332040453,0.632028626561805,0.6496341149059062,0.010195855368490443,54
25.046391820907594,0.7348568558917387,0.6303683757781983,0.0069131676083886455,0.11120000000000001,0.6667000000000001,"{'linearsvc__C': 0.11120000000000001, 'linearsvc__tol': 0.6667000000000001}",0.6510805479388173,0.6429043036669208,0.660206723466825,0.6559632162678397,0.6311969141366615,0.6482703410954128,0.010294183608597756,63
