mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sgdclassifier__warm_start,param_sgdclassifier__penalty,param_sgdclassifier__learning_rate,param_sgdclassifier__fit_intercept,param_sgdclassifier__eta0,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
23.818970680236816,0.5551096005861186,0.6535282135009766,0.1880078813735572,False,l2,constant,False,0.1000888888888889,"{'sgdclassifier__warm_start': False, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__learning_rate': 'constant', 'sgdclassifier__fit_intercept': False, 'sgdclassifier__eta0': 0.1000888888888889}",0.611347244857782,0.6075143235725966,0.6251054261498524,0.5965233583968933,0.5946468989139674,0.6070274503782184,0.01103924708269514,7,0.6191494794789733,0.6202880810871577,0.6183599531906572,0.5890178483672663,0.6203337081568041,0.6134298140561716,0.012228364515760284
23.273578262329103,0.6641251912244999,0.7955033779144287,0.3021325408263714,True,l2,optimal,False,0.8000111111111111,"{'sgdclassifier__warm_start': True, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__learning_rate': 'optimal', 'sgdclassifier__fit_intercept': False, 'sgdclassifier__eta0': 0.8000111111111111}",0.620084177585596,0.6141270290884072,0.6256364656988538,0.6239487945847506,0.607020625445112,0.6181634184805439,0.006833163292198978,3,0.623900696834805,0.6253671133577702,0.6175815932814156,0.619429557812852,0.6300894534879219,0.623273682954953,0.0044363838466656
33.70073804855347,0.4757412706066118,1.3946295738220216,0.08550912719908187,True,elasticnet,optimal,True,0.8000111111111111,"{'sgdclassifier__warm_start': True, 'sgdclassifier__penalty': 'elasticnet', 'sgdclassifier__learning_rate': 'optimal', 'sgdclassifier__fit_intercept': True, 'sgdclassifier__eta0': 0.8000111111111111}",0.6207658829397644,0.6149014967380537,0.6280582393977168,0.6259486021274527,0.608628220457156,0.6196604883320287,0.007150432584938486,1,0.6243464728421669,0.6262188335441917,0.6200788056005715,0.6221786552890715,0.6324497632237065,0.6250545060999416,0.00423260937871566
35.094816303253175,0.9058977392527436,1.3748633861541748,0.06274258622057757,False,l2,invscaling,False,0.5000444444444445,"{'sgdclassifier__warm_start': False, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__learning_rate': 'invscaling', 'sgdclassifier__fit_intercept': False, 'sgdclassifier__eta0': 0.5000444444444445}",0.6084326062221211,0.5976111201129762,0.6107755993548514,0.6132165081518725,0.6006158788431211,0.6061303425369884,0.0060013170661467495,8,0.6100966445732832,0.6115492629955595,0.6063456008109978,0.6055323144683166,0.6190864960984618,0.6105220637893237,0.004835825923093066
47.816370725631714,2.7650053633232856,1.2304426193237306,0.2772641438313304,False,l1,invscaling,True,0.8000111111111111,"{'sgdclassifier__warm_start': False, 'sgdclassifier__penalty': 'l1', 'sgdclassifier__learning_rate': 'invscaling', 'sgdclassifier__fit_intercept': True, 'sgdclassifier__eta0': 0.8000111111111111}",0.6113191104314284,0.6046470611248498,0.6144491387347152,0.6180653835808834,0.6039661873857007,0.6104893762515153,0.005485411630965607,4,0.6140094331366786,0.6160756897775574,0.6100487557037039,0.6113802728758564,0.6246002522546332,0.615222880749686,0.0051317061481110865
32.27022194862366,1.6461303292587486,0.9873332500457763,0.3388215161886132,True,elasticnet,constant,False,0.30006666666666665,"{'sgdclassifier__warm_start': True, 'sgdclassifier__penalty': 'elasticnet', 'sgdclassifier__learning_rate': 'constant', 'sgdclassifier__fit_intercept': False, 'sgdclassifier__eta0': 0.30006666666666665}",0.5737913754245776,0.5303391649824698,0.5659454033249727,0.6233255517658398,0.6020151567019935,0.5790833304399706,0.031811464557517474,9,0.5826190827902905,0.5496427652145323,0.5595432600881984,0.6132752057577627,0.6290705416303819,0.5868301710962331,0.03042630669142378
30.887060928344727,1.1145945572918325,0.9749153614044189,0.35704710461270633,True,elasticnet,constant,False,0.5000444444444445,"{'sgdclassifier__warm_start': True, 'sgdclassifier__penalty': 'elasticnet', 'sgdclassifier__learning_rate': 'constant', 'sgdclassifier__fit_intercept': False, 'sgdclassifier__eta0': 0.5000444444444445}",0.5518209667613748,0.5293642917859243,0.5607199455268541,0.618427097746007,0.5984178252751102,0.5717500254190542,0.03226546477956402,10,0.5600332266437623,0.5475669352058917,0.5552867978636328,0.6100245966837237,0.6238470471420576,0.5793517207078137,0.031251421436234994
53.84534068107605,2.138523326153265,1.3176711559295655,0.3447400014045651,False,l1,invscaling,False,0.7000222222222222,"{'sgdclassifier__warm_start': False, 'sgdclassifier__penalty': 'l1', 'sgdclassifier__learning_rate': 'invscaling', 'sgdclassifier__fit_intercept': False, 'sgdclassifier__eta0': 0.7000222222222222}",0.6118111344674658,0.603506402754146,0.6147998369168618,0.6167678935932577,0.6029027255159677,0.6099575986495397,0.005738504109919669,5,0.6136055867855212,0.6157399089549622,0.6103377038391594,0.6096131996955574,0.6224418248463814,0.6143476448243164,0.00461517924145297
33.92368121147156,0.4458353743943167,1.0449613571166991,0.1894511107593086,False,elasticnet,constant,False,0.1000888888888889,"{'sgdclassifier__warm_start': False, 'sgdclassifier__penalty': 'elasticnet', 'sgdclassifier__learning_rate': 'constant', 'sgdclassifier__fit_intercept': False, 'sgdclassifier__eta0': 0.1000888888888889}",0.6129376627075125,0.6089961507098985,0.6260405701942148,0.6000636729913067,0.595449780427027,0.6086975674059919,0.010666726756335508,6,0.6205003065621201,0.6216003477635119,0.6193034762185742,0.5924673521307623,0.6216862290237667,0.6151115423397471,0.01135518859843352
28.784823369979858,4.998320504052893,0.8437113285064697,0.3407937038703991,True,elasticnet,optimal,True,0.9,"{'sgdclassifier__warm_start': True, 'sgdclassifier__penalty': 'elasticnet', 'sgdclassifier__learning_rate': 'optimal', 'sgdclassifier__fit_intercept': True, 'sgdclassifier__eta0': 0.9}",0.6207658829397644,0.6149014967380537,0.6280582393977168,0.6259486021274527,0.608628220457156,0.6196604883320287,0.007150432584938486,1,0.6243464728421669,0.6262188335441917,0.6200788056005715,0.6221786552890715,0.6324497632237065,0.6250545060999416,0.00423260937871566
