mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__solver,param_mlpclassifier__learning_rate,param_mlpclassifier__alpha,param_mlpclassifier__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
807.0766396045685,132.1852625673906,5.161390256881714,0.4006640050307291,adam,adaptive,0.05257272727272728,relu,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__alpha': 0.05257272727272728, 'mlpclassifier__activation': 'relu'}",0.6499679406326839,0.6426277820095413,0.6568889186642142,0.657033421846729,0.6230499905651777,0.6459136107436693,0.012602277348985853,1,0.6504530641932904,0.6494593538002532,0.6488825338551055,0.6533179946424179,0.6616966494355491,0.6527619191853231,0.004720720381371673
228.85195364952088,73.47148896152885,1.159137487411499,0.2603004794277197,adam,adaptive,0.08990909090909091,relu,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__alpha': 0.08990909090909091, 'mlpclassifier__activation': 'relu'}",0.6427087330320338,0.6399802042361173,0.6543603087972251,0.6422770696615279,0.6225881424927934,0.6403828916439396,0.010209612071988663,4,0.6430118031494961,0.6478269429515404,0.646113066433608,0.6407760855801948,0.6526718683930846,0.6460799533015849,0.004100023708513666
86.45393967628479,4.931317618227017,0.7251571178436279,0.04165511352778169,sgd,invscaling,0.09596363636363638,identity,"{'mlpclassifier__solver': 'sgd', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__alpha': 0.09596363636363638, 'mlpclassifier__activation': 'identity'}",0.4774078092898723,0.4674971952261221,0.47121716929845053,0.48170008884103016,0.4745599607416199,0.474476444679419,0.004901299977066796,8,0.475525109640389,0.479162236617205,0.4738194372647661,0.47230478201188325,0.4806862987096821,0.47629957284878516,0.003166936287220119
693.341214799881,7.320018099889431,1.0483791828155518,0.05339544287239272,lbfgs,adaptive,0.043490909090909094,logistic,"{'mlpclassifier__solver': 'lbfgs', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__alpha': 0.043490909090909094, 'mlpclassifier__activation': 'logistic'}",0.6423013693783574,0.6397181200690489,0.6522488289059399,0.6424272204520671,0.6238479307423147,0.6401086939095457,0.009188375650529722,5,0.6442891216888614,0.6475297940439185,0.6443703571891491,0.6434929498037387,0.6561549182580249,0.6471674281967387,0.004701411121021648
65.52615404129028,3.807854102687363,1.087077760696411,0.010650736093679562,sgd,invscaling,0.02532727272727273,logistic,"{'mlpclassifier__solver': 'sgd', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__alpha': 0.02532727272727273, 'mlpclassifier__activation': 'logistic'}",0.07718168551837998,0.07718168551837998,0.07718168551837998,0.07718232083179485,0.0771806043074101,0.07718159633886898,5.536922196671642e-07,10,0.07718157404644559,0.07718157404644559,0.07718157404644559,0.07718141521897494,0.07718184434575318,0.07718159634081297,1.3842159298992364e-07
277.82480974197387,17.751222688354687,1.0826138496398925,0.06550417569222589,adam,adaptive,0.021290909090909093,logistic,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__alpha': 0.021290909090909093, 'mlpclassifier__activation': 'logistic'}",0.633588430305911,0.6374193015101868,0.6560098869455392,0.6301080640617409,0.626787695106772,0.6367826755860301,0.010244454362444401,6,0.6390162321757484,0.645610368140141,0.646018674857255,0.6259120102132126,0.6538363242923294,0.6420787219357373,0.009348565436063957
148.79376072883605,3.0318134923474953,0.8017569541931152,0.005836413670919871,sgd,invscaling,0.043490909090909094,relu,"{'mlpclassifier__solver': 'sgd', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__alpha': 0.043490909090909094, 'mlpclassifier__activation': 'relu'}",0.42498074984417994,0.41647954853113756,0.41805024957082093,0.4267894917131594,0.41734975159092835,0.4207299582500452,0.004276909945505036,9,0.4198175072299228,0.42364596429478574,0.4220451402427116,0.4213173271380279,0.42406558254227406,0.4221783042895444,0.0015523029452868893
123.524467420578,5.2669106410535695,1.0995444774627685,0.006647258949799817,adam,constant,0.08284545454545456,logistic,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__alpha': 0.08284545454545456, 'mlpclassifier__activation': 'logistic'}",0.6054730167899632,0.6195743359762903,0.6388295028413832,0.6230176302414233,0.6157279926389819,0.6205244956976084,0.010878835128651638,7,0.607908766043651,0.6272668125184226,0.632291031889692,0.6178285801786808,0.6408313659370933,0.625225311313508,0.011421168477074821
381.44249296188354,26.945463107122215,1.07977352142334,0.025546930718188438,adam,constant,0.04147272727272728,tanh,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__alpha': 0.04147272727272728, 'mlpclassifier__activation': 'tanh'}",0.6473840983683842,0.6406769711348452,0.6522445218441296,0.6525045540162092,0.6242565852903199,0.6434133461307777,0.010496435896489315,3,0.6497935123435488,0.6484983895500058,0.6439155741485759,0.6508490239024989,0.6545726268162761,0.6495258253521812,0.0034589957687758853
335.88245725631714,59.84597417933456,0.6363659381866456,0.12280327972457197,lbfgs,adaptive,0.05156363636363637,identity,"{'mlpclassifier__solver': 'lbfgs', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__alpha': 0.05156363636363637, 'mlpclassifier__activation': 'identity'}",0.6498280605813009,0.6470742343822069,0.6547109701808951,0.6486458720169994,0.624105526305642,0.6448729326934088,0.010693046734488836,2,0.6483270638425428,0.650893355966182,0.6484076554995969,0.6494632367367703,0.6621874723313382,0.6518557568752861,0.005248538653839475
